                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.91454,                  3.623,                0.47076,                  0.644,                 1.0061,                0.98571,                      1,                  0.995,                0.85431,                0.98571,                      1,                  0.995,                0.59178,                0.67056,                 1.3675,                0.33626,                0.38938,                0.77054,               0.001798,               0.001798,               0.001798
                     54,                0.70347,                 3.4322,                0.46479,                0.49695,                0.94543,                0.98656,                      1,                  0.995,                0.86671,                0.98656,                      1,                  0.995,                 0.6965,                0.67263,                 1.6797,                0.33527,                0.36918,                0.77059,              0.0017941,              0.0017941,              0.0017941
                     55,                 0.6693,                 2.9354,                0.46857,                0.47559,                0.92883,                0.98585,                      1,                  0.995,                0.86349,                0.98585,                      1,                  0.995,                0.60914,                0.60328,                 1.5867,                0.33664,                0.40487,                0.72028,              0.0017901,              0.0017901,              0.0017901
                     56,                0.72734,                 2.9675,                0.47231,                0.51837,                0.92572,                0.98587,                      1,                  0.995,                0.85167,                0.98587,                      1,                  0.995,                0.65284,                0.67741,                 1.3259,                0.33967,                0.43745,                0.72555,              0.0017862,              0.0017862,              0.0017862
                     57,                0.75802,                 2.9832,                0.48134,                0.51787,                0.93587,                0.97823,                      1,                  0.995,                 0.8955,                0.97823,                      1,                  0.995,                 0.7077,                0.61147,                 1.3978,                0.33161,                 7.9309,                0.71198,              0.0017822,              0.0017822,              0.0017822
                     58,                0.82638,                 3.7925,                0.50354,                0.57822,                0.96774,                 0.9753,                      1,                  0.995,                0.87932,                 0.9753,                      1,                  0.995,                 0.7077,                0.58425,                 1.3294,                0.32363,                 9.5713,                0.71814,              0.0017782,              0.0017782,              0.0017782
                     59,                0.76427,                 3.4494,                0.50128,                0.59278,                 1.0059,                0.98587,                      1,                  0.995,                 0.8955,                0.98587,                      1,                  0.995,                0.57131,                 0.5534,                 1.3802,                0.31811,                0.30605,                0.68584,              0.0017743,              0.0017743,              0.0017743
                     60,                0.77891,                 3.1344,                0.49791,                0.53785,                0.99978,                0.98615,                      1,                  0.995,                0.89607,                0.98615,                      1,                  0.995,                0.35407,                0.57501,                 2.1819,                0.32405,                0.49105,                0.69867,              0.0017703,              0.0017703,              0.0017703
                     61,                0.71345,                  2.893,                0.48014,                0.51396,                0.94694,                0.98595,                      1,                  0.995,                0.89607,                0.98595,                      1,                  0.995,                0.47594,                0.59192,                  1.724,                0.31823,                0.63269,                0.71026,              0.0017664,              0.0017664,              0.0017664
                     62,                0.69057,                 3.1345,                0.50038,                0.49984,                0.94386,                0.98484,                      1,                  0.995,                0.81269,                0.98484,                      1,                  0.995,                0.66364,                0.69127,                 1.4902,                0.31669,                0.39453,                0.76579,              0.0017624,              0.0017624,              0.0017624
                     63,                0.76077,                  3.311,                 0.5108,                0.56492,                0.97278,                 0.9848,                      1,                  0.995,                0.84407,                 0.9848,                      1,                  0.995,                0.71135,                0.67338,                 1.2685,                0.32087,                0.36644,                0.75725,              0.0017584,              0.0017584,              0.0017584
                     64,                 0.7246,                 3.3281,                0.50212,                0.54693,                 0.9613,                0.98612,                      1,                  0.995,                 0.8955,                0.98612,                      1,                  0.995,                 0.6748,                0.61609,                 1.4663,                0.31769,                 0.3051,                0.73044,              0.0017545,              0.0017545,              0.0017545
                     65,                0.74059,                 3.4718,                0.46572,                0.52718,                0.96029,                      1,                      1,                  0.995,                0.87372,                      1,                      1,                  0.995,                0.64144,                0.60414,                 1.5324,                0.32422,                  0.358,                0.70492,              0.0017505,              0.0017505,              0.0017505
                     66,                0.77476,                 3.2929,                0.52013,                0.56927,                0.96708,                      1,                      1,                  0.995,                0.86272,                      1,                      1,                  0.995,                0.78025,                0.60452,                 1.1217,                0.32545,                0.32501,                0.71584,              0.0017466,              0.0017466,              0.0017466
                     67,                0.68947,                 3.6346,                0.51354,                0.54767,                0.92534,                      1,                      1,                  0.995,                0.86272,                      1,                      1,                  0.995,                 0.7243,                0.73725,                 1.3205,                0.32355,                0.37523,                 0.8077,              0.0017426,              0.0017426,              0.0017426
                     68,                0.72139,                 3.1442,                0.46581,                0.53538,                0.96092,                0.98582,                      1,                  0.995,                0.87937,                0.98582,                      1,                  0.995,                0.74683,                0.57294,                 1.3262,                0.33584,                0.36848,                0.69246,              0.0017386,              0.0017386,              0.0017386
                     69,                0.70021,                 2.7349,                 0.4612,                0.48047,                0.95961,                0.98575,                      1,                  0.995,                 0.8955,                0.98575,                      1,                  0.995,                0.74683,                0.58847,                 1.4566,                0.33432,                0.35048,                0.69609,              0.0017347,              0.0017347,              0.0017347
                     70,                0.75245,                 2.9409,                0.46137,                 0.4827,                0.95812,                0.98589,                      1,                  0.995,                 0.8955,                0.98589,                      1,                  0.995,                0.58818,                0.58712,                 1.6078,                0.32929,                0.39582,                0.70325,              0.0017307,              0.0017307,              0.0017307
                     71,                0.73011,                 3.4109,                0.48945,                0.49587,                0.95167,                0.98594,                      1,                  0.995,                 0.8955,                0.98594,                      1,                  0.995,                0.71458,                0.56683,                 1.3312,                0.32697,                0.45229,                0.68534,              0.0017268,              0.0017268,              0.0017268
