                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.64615,                 4.6572,                 0.5581,                0.51152,                0.94575,                 0.9852,                      1,                  0.995,                 0.8955,                 0.9852,                      1,                  0.995,                0.38638,                0.46337,                 2.6636,                0.58391,                0.41179,                0.74427,              0.0017386,              0.0017386,              0.0017386
                     69,                0.64696,                 4.4327,                0.54664,                0.53303,                0.89997,                0.98251,                      1,                  0.995,                0.90196,                0.98251,                      1,                  0.995,                0.36812,                0.46178,                 2.9675,                0.58507,                0.38123,                0.73904,              0.0017347,              0.0017347,              0.0017347
                     70,                0.66396,                 4.7674,                0.55779,                0.52998,                0.92569,                0.98201,                      1,                  0.995,                0.92064,                0.98201,                      1,                  0.995,                0.30534,                0.48757,                 2.8657,                0.58075,                0.46117,                0.72358,              0.0017307,              0.0017307,              0.0017307
                     71,                0.61804,                 4.7808,                0.52744,                0.51263,                0.91117,                 0.9853,                      1,                  0.995,                0.90802,                 0.7385,                   0.75,                0.56148,                 0.2913,                0.51267,                 2.9015,                0.57952,                0.47136,                0.72765,              0.0017268,              0.0017268,              0.0017268
                     72,                0.68175,                 4.5259,                0.54722,                0.51814,                0.92514,                0.98331,                      1,                  0.995,                0.90799,                0.73695,                   0.75,                0.66986,                0.16484,                0.52975,                 3.2422,                0.56955,                0.62342,                0.76976,              0.0017228,              0.0017228,              0.0017228
                     73,                 0.6617,                 4.2213,                0.53547,                0.50418,                0.92689,                0.96386,                      1,                  0.995,                0.90189,                0.96386,                      1,                  0.995,                0.22042,                0.46375,                 3.3655,                 0.5678,                0.56402,                0.73656,              0.0017188,              0.0017188,              0.0017188
                     74,                0.60213,                 4.3014,                0.53737,                 0.5014,                0.90097,                0.98045,                      1,                  0.995,                0.90191,                0.73534,                   0.75,                0.68543,                0.21845,                0.33966,                 3.1797,                0.56658,                0.42322,                0.70053,              0.0017149,              0.0017149,              0.0017149
                     75,                0.59891,                 3.6371,                0.53614,                0.49373,                0.89794,                0.98815,                      1,                  0.995,                0.93299,                0.98815,                      1,                  0.995,                0.20622,                0.30362,                 3.1149,                0.56543,                0.28242,                0.69818,              0.0017109,              0.0017109,              0.0017109
                     76,                0.61378,                 3.8918,                0.53272,                0.49638,                0.91457,                0.98532,                      1,                  0.995,                0.93723,                0.98532,                      1,                  0.995,                0.29056,                0.37628,                 3.2903,                0.56271,                0.36273,                0.74168,               0.001707,               0.001707,               0.001707
                     77,                0.56676,                 3.4273,                0.51476,                  0.466,                0.88392,                 0.9879,                      1,                  0.995,                0.85243,                 0.9879,                      1,                  0.995,                0.26822,                0.46686,                  3.084,                0.56128,                0.33209,                 0.7523,               0.001703,               0.001703,               0.001703
                     78,                0.62117,                 3.9473,                0.56495,                0.49808,                0.91614,                0.98879,                      1,                  0.995,                0.93801,                0.98879,                      1,                  0.995,                0.33853,                0.37536,                 3.0293,                0.55816,                0.32143,                0.71387,               0.001699,               0.001699,               0.001699
                     79,                0.61614,                 4.3811,                0.55811,                0.45792,                0.92489,                0.98865,                      1,                  0.995,                0.95229,                0.98865,                      1,                  0.995,                0.29621,                0.34387,                 3.2463,                0.55828,                0.31908,                0.70315,              0.0016951,              0.0016951,              0.0016951
                     80,                0.61523,                 4.8209,                0.58483,                0.46806,                0.91665,                0.98876,                      1,                  0.995,                0.92875,                0.98876,                      1,                  0.995,                0.35217,                0.43941,                 2.7119,                 0.5544,                0.36262,                0.72183,              0.0016911,              0.0016911,              0.0016911
                     81,                0.58875,                 4.3998,                0.54078,                0.44388,                  0.902,                0.98856,                      1,                  0.995,                 0.8955,                0.98856,                      1,                  0.995,                0.27333,                0.52684,                 2.9066,                0.55373,                0.33676,                0.72244,              0.0016872,              0.0016872,              0.0016872
                     82,                0.58054,                 4.4971,                0.53311,                0.45322,                0.86837,                0.98866,                      1,                  0.995,                0.85396,                0.42857,                   0.75,                0.41036,                0.10026,                0.54737,                 3.6491,                0.55614,                0.41324,                0.75835,              0.0016832,              0.0016832,              0.0016832
                     83,                0.61116,                 4.6232,                0.54297,                0.45275,                0.88287,                0.98877,                      1,                  0.995,                0.85237,                   0.25,                    0.5,                0.21685,                0.06043,                0.48523,                 3.6103,                0.55411,                0.40756,                 0.7422,              0.0016792,              0.0016792,              0.0016792
                     84,                0.59534,                 4.6159,                 0.5648,                0.46954,                0.88918,                0.98874,                      1,                  0.995,                0.92592,                0.98874,                      1,                  0.995,                0.33272,                0.35801,                 2.7166,                0.55247,                0.28523,                0.70867,              0.0016753,              0.0016753,              0.0016753
                     85,                0.57238,                 4.1591,                0.57789,                0.45179,                0.92026,                 0.9887,                      1,                  0.995,                 0.9245,                 0.9887,                      1,                  0.995,                0.31233,                0.41036,                 2.7993,                0.55435,                0.28662,                0.71576,              0.0016713,              0.0016713,              0.0016713
